                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.74388,                0.49023,                0.91997,                 0.8473,                  0.955,                0.91214,                 0.7086,                0.83912,                0.41307,                0.95208,               0.003367,               0.003367,               0.003367
                     69,                0.72829,                0.48781,                0.91601,                 0.8759,                0.94025,                0.89697,                0.70152,                0.84706,                0.41558,                0.95566,               0.003268,               0.003268,               0.003268
                     70,                0.72987,                0.48653,                0.91348,                0.84778,                0.95476,                0.90663,                0.70751,                0.84182,                0.42188,                0.95487,               0.003169,               0.003169,               0.003169
                     71,                 0.7517,                0.48883,                0.92865,                0.85211,                 0.9255,                0.89522,                0.69524,                0.85014,                0.41635,                0.95713,                0.00307,                0.00307,                0.00307
                     72,                0.74541,                0.48331,                0.91878,                0.86528,                 0.9386,                0.89695,                0.69535,                0.85259,                 0.4037,                 0.9531,               0.002971,               0.002971,               0.002971
                     73,                0.73121,                 0.4767,                0.91433,                0.87315,                0.95622,                0.88403,                0.68846,                0.84141,                0.40574,                0.95065,               0.002872,               0.002872,               0.002872
                     74,                0.71587,                 0.4657,                0.91003,                0.87606,                 0.9475,                0.88484,                0.69332,                0.84573,                 0.4182,                0.95344,               0.002773,               0.002773,               0.002773
                     75,                0.72393,                 0.4686,                0.90606,                  0.843,                0.95818,                0.88859,                0.70199,                 0.8538,                0.40544,                0.95693,               0.002674,               0.002674,               0.002674
                     76,                0.71847,                0.46553,                0.90683,                 0.8079,                0.97989,                0.88778,                 0.6991,                0.84008,                0.40586,                0.95041,               0.002575,               0.002575,               0.002575
                     77,                0.72365,                0.46747,                0.90723,                0.82651,                0.95681,                0.88422,                0.68954,                0.84876,                0.41986,                 0.9536,               0.002476,               0.002476,               0.002476
                     78,                 0.7276,                0.46702,                0.91044,                0.84426,                0.96019,                0.90232,                0.71034,                0.85234,                0.40486,                 0.9546,               0.002377,               0.002377,               0.002377
                     79,                0.72034,                0.46712,                 0.9104,                0.86522,                0.91232,                0.90631,                0.72084,                0.84456,                0.40449,                0.94909,               0.002278,               0.002278,               0.002278
                     80,                0.72034,                0.45037,                0.90462,                0.85246,                 0.9665,                0.89375,                  0.705,                 0.8536,                0.40939,                0.95054,               0.002179,               0.002179,               0.002179
                     81,                0.71755,                0.45849,                0.90835,                0.86145,                0.95024,                0.88467,                0.67456,                0.84745,                0.40596,                 0.9486,                0.00208,                0.00208,                0.00208
                     82,                0.72344,                0.46408,                0.90654,                0.85436,                0.94609,                0.89101,                  0.697,                0.85563,                 0.4052,                0.95146,               0.001981,               0.001981,               0.001981
                     83,                 0.7033,                0.44958,                0.90492,                0.85668,                0.94982,                0.89632,                0.71421,                0.84648,                0.40533,                0.94937,               0.001882,               0.001882,               0.001882
                     84,                0.71213,                0.45317,                0.90376,                 0.8669,                0.95402,                0.89459,                0.71247,                0.84069,                0.39361,                0.94764,               0.001783,               0.001783,               0.001783
                     85,                0.71204,                0.45001,                0.90479,                0.87086,                0.96013,                0.89213,                0.70287,                0.84739,                0.39781,                0.95076,               0.001684,               0.001684,               0.001684
                     86,                0.71094,                0.44627,                0.90365,                0.85875,                 0.9575,                 0.8861,                0.68933,                0.85646,                 0.4005,                 0.9532,               0.001585,               0.001585,               0.001585
                     87,                 0.7146,                  0.445,                0.90364,                0.85233,                0.95572,                0.89662,                0.69188,                0.87587,                 0.4074,                0.95847,               0.001486,               0.001486,               0.001486
                     88,                0.69664,                0.43517,                 0.8949,                0.85312,                0.95987,                0.89684,                 0.6999,                0.85719,                0.40817,                0.95034,               0.001387,               0.001387,               0.001387
                     89,                0.71149,                0.44303,                0.90328,                0.85203,                0.97369,                0.89674,                0.70803,                 0.8467,                0.39838,                0.94881,               0.001288,               0.001288,               0.001288
                     90,                0.67581,                0.42116,                0.90089,                0.85798,                0.95556,                0.90529,                 0.6996,                0.85729,                0.40461,                0.95086,               0.001189,               0.001189,               0.001189
                     91,                0.68034,                0.42263,                0.89966,                0.85097,                0.95213,                0.88804,                0.70129,                0.84394,                0.40201,                0.94369,                0.00109,                0.00109,                0.00109
                     92,                0.66723,                0.40958,                0.89308,                0.85592,                 0.9566,                0.88485,                0.69933,                0.84661,                0.40366,                0.94193,               0.000991,               0.000991,               0.000991
                     93,                0.66911,                0.40734,                0.89716,                0.86051,                0.96373,                0.89343,                0.69004,                0.87933,                0.40329,                0.95192,               0.000892,               0.000892,               0.000892
                     94,                0.66923,                0.40878,                0.89389,                0.87218,                0.95048,                0.89637,                0.70298,                0.85087,                0.39494,                0.94483,               0.000793,               0.000793,               0.000793
                     95,                0.65958,                0.40528,                0.88706,                0.86634,                0.95725,                0.89561,                0.70356,                0.84963,                0.39298,                0.94405,               0.000694,               0.000694,               0.000694
                     96,                0.65734,                0.39986,                0.88665,                0.86303,                 0.9677,                0.89888,                0.70556,                0.84958,                0.39294,                 0.9454,               0.000595,               0.000595,               0.000595
                     97,                0.66033,                 0.4018,                0.89236,                 0.8645,                0.96596,                0.88812,                0.70006,                0.83644,                0.38734,                0.94053,               0.000496,               0.000496,               0.000496
                     98,                0.64753,                0.39025,                0.88904,                0.86557,                0.96868,                0.89053,                0.69871,                0.84131,                0.38727,                0.94377,               0.000397,               0.000397,               0.000397
                     99,                0.65136,                0.39322,                0.89038,                 0.8612,                0.96773,                0.89217,                0.70178,                0.83864,                0.38933,                0.94286,               0.000298,               0.000298,               0.000298
